[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  4] [Fitness : Time]: [	89.1454214933437470 ,	0.0017856359481812]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  4] [Fitness : Time]: [	41.1289134035081858 ,	0.0032385587692261]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  4] [Fitness : Time]: [	11.3872814052847264 ,	0.0046601295471191]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  4] [Fitness : Time]: [	9.8871317771763980 ,	0.0060505867004395]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  4] [Fitness : Time]: [	9.8871317771763980 ,	0.0074630975723267]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  4] [Fitness : Time]: [	9.8871317771763980 ,	0.0087991952896118]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  4] [Fitness : Time]: [	7.8142697460927755 ,	0.0101801156997681]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  4] [Fitness : Time]: [	5.4573743042544258 ,	0.0115320682525635]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  4] [Fitness : Time]: [	5.4573743042544258 ,	0.0129030942916870]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  4] [Fitness : Time]: [	5.4573743042544258 ,	0.0142520666122437]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0156670808792114]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0170251131057739]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0183770656585693]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0197576284408569]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0211060047149658]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0224456787109375]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0237941741943359]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0251551866531372]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0265140533447266]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0281065702438354]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 :  4] [Fitness : Time]: [	3.8195191360856109 ,	0.0297405719757080]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0312645435333252]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0328210592269897]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0344176292419434]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0364115238189697]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0379395484924316]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0395165681838989]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0411216020584106]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0426840782165527]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0442250967025757]
[Cycles : Iteration : Population Size : Dimension] [  2 :   30 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0456039905548096]
[Cycles : Iteration : Population Size : Dimension] [  2 :   31 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0470520257949829]
[Cycles : Iteration : Population Size : Dimension] [  2 :   32 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0485011339187622]
[Cycles : Iteration : Population Size : Dimension] [  2 :   33 :  30 :  4] [Fitness : Time]: [	1.8365877648045710 ,	0.0499560832977295]
