[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0358459949493408]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0370135307312012]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0381290912628174]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0390365123748779]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0399254560470581]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0407896041870117]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0415985584259033]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0424315929412842]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0432369709014893]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0441139936447144]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0449609756469727]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0457935333251953]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0466744899749756]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0475195646286011]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0482535362243652]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0489560365676880]
[Cycles : Iteration : Population Size : Dimension] [  2 :   61 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0496804714202881]
[Cycles : Iteration : Population Size : Dimension] [  2 :   62 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0503970384597778]
[Cycles : Iteration : Population Size : Dimension] [  2 :   63 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0512319803237915]
[Cycles : Iteration : Population Size : Dimension] [  2 :   64 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0519495010375977]
[Cycles : Iteration : Population Size : Dimension] [  2 :   65 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0531229972839355]
[Cycles : Iteration : Population Size : Dimension] [  2 :   66 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0538154840469360]
[Cycles : Iteration : Population Size : Dimension] [  2 :   67 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0545165538787842]
[Cycles : Iteration : Population Size : Dimension] [  2 :   68 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0552254915237427]
[Cycles : Iteration : Population Size : Dimension] [  2 :   69 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0560024976730347]
[Cycles : Iteration : Population Size : Dimension] [  2 :   70 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0569504499435425]
[Cycles : Iteration : Population Size : Dimension] [  2 :   71 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0576610565185547]
[Cycles : Iteration : Population Size : Dimension] [  2 :   72 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0583554506301880]
[Cycles : Iteration : Population Size : Dimension] [  2 :   73 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0590554475784302]
[Cycles : Iteration : Population Size : Dimension] [  2 :   74 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0597879886627197]
[Cycles : Iteration : Population Size : Dimension] [  2 :   75 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0605465173721313]
[Cycles : Iteration : Population Size : Dimension] [  2 :   76 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0612345933914185]
[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0619364976882935]
[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0626440048217773]
[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0633565187454224]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0640654563903809]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0648090839385986]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0655305385589600]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0662620067596436]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0669640302658081]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0676720142364502]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0686240196228027]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0694559812545776]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0702685117721558]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0709739923477173]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0716785192489624]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0723975896835327]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0731869935989380]
[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0739860534667969]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0747156143188477]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0754325389862061]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0762039422988892]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0770184993743896]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0777449607849121]
[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0784955024719238]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0792050361633301]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0799695253372192]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0806815624237061]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0813970565795898]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0821514129638672]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0828830003738403]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0835889577865601]
[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0843040943145752]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0850635766983032]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0857675075531006]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0864884853363037]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0872244834899902]
[Cycles : Iteration : Population Size : Dimension] [  2 :  112 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0879534482955933]
[Cycles : Iteration : Population Size : Dimension] [  2 :  113 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0886430740356445]
[Cycles : Iteration : Population Size : Dimension] [  2 :  114 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0893720388412476]
[Cycles : Iteration : Population Size : Dimension] [  2 :  115 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0901725292205811]
[Cycles : Iteration : Population Size : Dimension] [  2 :  116 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0909280776977539]
[Cycles : Iteration : Population Size : Dimension] [  2 :  117 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0916609764099121]
[Cycles : Iteration : Population Size : Dimension] [  2 :  118 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0923979282379150]
[Cycles : Iteration : Population Size : Dimension] [  2 :  119 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0931550264358521]
[Cycles : Iteration : Population Size : Dimension] [  2 :  120 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0938630104064941]
[Cycles : Iteration : Population Size : Dimension] [  2 :  121 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0945755243301392]
[Cycles : Iteration : Population Size : Dimension] [  2 :  122 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0953079462051392]
[Cycles : Iteration : Population Size : Dimension] [  2 :  123 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0960539579391479]
[Cycles : Iteration : Population Size : Dimension] [  2 :  124 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0967810153961182]
[Cycles : Iteration : Population Size : Dimension] [  2 :  125 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0974769592285156]
[Cycles : Iteration : Population Size : Dimension] [  2 :  126 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0981715917587280]
[Cycles : Iteration : Population Size : Dimension] [  2 :  127 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0988965034484863]
[Cycles : Iteration : Population Size : Dimension] [  2 :  128 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0995990037918091]
[Cycles : Iteration : Population Size : Dimension] [  2 :  129 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1003245115280151]
[Cycles : Iteration : Population Size : Dimension] [  2 :  130 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1010715961456299]
[Cycles : Iteration : Population Size : Dimension] [  2 :  131 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1017745733261108]
[Cycles : Iteration : Population Size : Dimension] [  2 :  132 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1025094985961914]
[Cycles : Iteration : Population Size : Dimension] [  2 :  133 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1032775640487671]
[Cycles : Iteration : Population Size : Dimension] [  2 :  134 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1040205955505371]
[Cycles : Iteration : Population Size : Dimension] [  2 :  135 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1047459840774536]
[Cycles : Iteration : Population Size : Dimension] [  2 :  136 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1054804325103760]
[Cycles : Iteration : Population Size : Dimension] [  2 :  137 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1061710119247437]
[Cycles : Iteration : Population Size : Dimension] [  2 :  138 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1069699525833130]
[Cycles : Iteration : Population Size : Dimension] [  2 :  139 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1076450347900391]
[Cycles : Iteration : Population Size : Dimension] [  2 :  140 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1084129810333252]
[Cycles : Iteration : Population Size : Dimension] [  2 :  141 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1091355085372925]
[Cycles : Iteration : Population Size : Dimension] [  2 :  142 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.1098375320434570]
[Cycles : Iteration : Population Size : Dimension] [  2 :  143 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1105444431304932]
[Cycles : Iteration : Population Size : Dimension] [  2 :  144 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1113010644912720]
[Cycles : Iteration : Population Size : Dimension] [  2 :  145 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1120139360427856]
[Cycles : Iteration : Population Size : Dimension] [  2 :  146 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1127386093139648]
[Cycles : Iteration : Population Size : Dimension] [  2 :  147 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1134650707244873]
[Cycles : Iteration : Population Size : Dimension] [  2 :  148 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1141985654830933]
[Cycles : Iteration : Population Size : Dimension] [  2 :  149 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1149040460586548]
[Cycles : Iteration : Population Size : Dimension] [  2 :  150 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1155951023101807]
[Cycles : Iteration : Population Size : Dimension] [  2 :  151 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1163635253906250]
[Cycles : Iteration : Population Size : Dimension] [  2 :  152 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1171195507049561]
[Cycles : Iteration : Population Size : Dimension] [  2 :  153 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1179240942001343]
[Cycles : Iteration : Population Size : Dimension] [  2 :  154 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1186350584030151]
[Cycles : Iteration : Population Size : Dimension] [  2 :  155 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1193835735321045]
[Cycles : Iteration : Population Size : Dimension] [  2 :  156 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1201421022415161]
[Cycles : Iteration : Population Size : Dimension] [  2 :  157 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1208884716033936]
[Cycles : Iteration : Population Size : Dimension] [  2 :  158 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1215904951095581]
[Cycles : Iteration : Population Size : Dimension] [  2 :  159 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1223344802856445]
[Cycles : Iteration : Population Size : Dimension] [  2 :  160 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1230460405349731]
[Cycles : Iteration : Population Size : Dimension] [  2 :  161 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1238344907760620]
[Cycles : Iteration : Population Size : Dimension] [  2 :  162 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1245325803756714]
[Cycles : Iteration : Population Size : Dimension] [  2 :  163 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1252750158309937]
[Cycles : Iteration : Population Size : Dimension] [  2 :  164 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1260255575180054]
[Cycles : Iteration : Population Size : Dimension] [  2 :  165 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1267260313034058]
[Cycles : Iteration : Population Size : Dimension] [  2 :  166 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1274385452270508]
[Cycles : Iteration : Population Size : Dimension] [  2 :  167 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1281585693359375]
[Cycles : Iteration : Population Size : Dimension] [  2 :  168 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1289235353469849]
[Cycles : Iteration : Population Size : Dimension] [  2 :  169 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1296321153640747]
