[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1106746196746826]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1114169359207153]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1121890544891357]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1131069660186768]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1131670475006104]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1143825054168701]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1159344911575317]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1163535118103027]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1177445650100708]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1182065010070801]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1197170019149780]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1201539039611816]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1215364933013916]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1224349737167358]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1264530420303345]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1275130510330200]
[Cycles : Iteration : Population Size : Dimension] [  2 :   61 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1300054788589478]
[Cycles : Iteration : Population Size : Dimension] [  2 :   62 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1306419372558594]
[Cycles : Iteration : Population Size : Dimension] [  2 :   63 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1325474977493286]
[Cycles : Iteration : Population Size : Dimension] [  2 :   64 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1345175504684448]
[Cycles : Iteration : Population Size : Dimension] [  2 :   65 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1359989643096924]
[Cycles : Iteration : Population Size : Dimension] [  2 :   66 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1366200447082520]
[Cycles : Iteration : Population Size : Dimension] [  2 :   67 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1510249376296997]
[Cycles : Iteration : Population Size : Dimension] [  2 :   68 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1525654792785645]
[Cycles : Iteration : Population Size : Dimension] [  2 :   69 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1538610458374023]
[Cycles : Iteration : Population Size : Dimension] [  2 :   70 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1549000740051270]
[Cycles : Iteration : Population Size : Dimension] [  2 :   71 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1605504751205444]
[Cycles : Iteration : Population Size : Dimension] [  2 :   72 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1619734764099121]
[Cycles : Iteration : Population Size : Dimension] [  2 :   73 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1636168956756592]
[Cycles : Iteration : Population Size : Dimension] [  2 :   74 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1650586128234863]
[Cycles : Iteration : Population Size : Dimension] [  2 :   75 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1656305789947510]
[Cycles : Iteration : Population Size : Dimension] [  2 :   76 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1671589612960815]
[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1681579351425171]
[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1691850423812866]
[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1718569993972778]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1771450042724609]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1777905225753784]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1802364587783813]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1809785366058350]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1819839477539062]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1834955215454102]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1840060949325562]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1894619464874268]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1920484304428101]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1940250396728516]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.1955469846725464]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2003760337829590]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2019159793853760]
[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2038519382476807]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2044359445571899]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2066700458526611]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2137520313262939]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2147400379180908]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2167860269546509]
[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2182765007019043]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2192820310592651]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2198419570922852]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2214030027389526]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2224184274673462]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2278989553451538]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2284485101699829]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2304559946060181]
