[Cycles : Iteration : Population Size : Dimension] [  2 :   44 :  30 :  3] [Fitness : Time]: [	-836.0953151126864213 ,	0.1456331014633179]
[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 :  3] [Fitness : Time]: [	-836.0953151126864213 ,	0.1471765041351318]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 :  3] [Fitness : Time]: [	-836.0953151126864213 ,	0.1529250144958496]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 :  3] [Fitness : Time]: [	-836.0953151126864213 ,	0.1545960903167725]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 :  3] [Fitness : Time]: [	-836.0953151126864213 ,	0.1561920642852783]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1631904840469360]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1641045808792114]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1651420593261719]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1660596132278442]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1669460535049438]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1678489446640015]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1687599420547485]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1733670234680176]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1742634773254395]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1752145290374756]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1756560802459717]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1829295158386230]
[Cycles : Iteration : Population Size : Dimension] [  2 :   61 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1840130090713501]
[Cycles : Iteration : Population Size : Dimension] [  2 :   62 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1867164373397827]
[Cycles : Iteration : Population Size : Dimension] [  2 :   63 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1882730722427368]
[Cycles : Iteration : Population Size : Dimension] [  2 :   64 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1888400316238403]
[Cycles : Iteration : Population Size : Dimension] [  2 :   65 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1900581121444702]
[Cycles : Iteration : Population Size : Dimension] [  2 :   66 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1904670000076294]
[Cycles : Iteration : Population Size : Dimension] [  2 :   67 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1919540166854858]
[Cycles : Iteration : Population Size : Dimension] [  2 :   68 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1929730176925659]
[Cycles : Iteration : Population Size : Dimension] [  2 :   69 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.1940175294876099]
[Cycles : Iteration : Population Size : Dimension] [  2 :   70 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2142030000686646]
[Cycles : Iteration : Population Size : Dimension] [  2 :   71 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2245515584945679]
[Cycles : Iteration : Population Size : Dimension] [  2 :   72 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2304819822311401]
[Cycles : Iteration : Population Size : Dimension] [  2 :   73 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2346335649490356]
[Cycles : Iteration : Population Size : Dimension] [  2 :   74 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2374384403228760]
[Cycles : Iteration : Population Size : Dimension] [  2 :   75 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2401419878005981]
[Cycles : Iteration : Population Size : Dimension] [  2 :   76 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2423695325851440]
[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2481579780578613]
[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2520924806594849]
[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2551935911178589]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2581809759140015]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2609455585479736]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 :  3] [Fitness : Time]: [	-837.1298986163333211 ,	0.2630676031112671]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2643940448760986]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2649760246276855]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2671204805374146]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2720420360565186]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2749044895172119]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2883615493774414]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.2966639995574951]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3118625879287720]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3378400802612305]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3531575202941895]
[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3568849563598633]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3595504760742188]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3756650686264038]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3846869468688965]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3879594802856445]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.3938335180282593]
[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4012454748153687]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4079614877700806]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4232344627380371]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4403669834136963]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4548205137252808]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4566669464111328]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4580055475234985]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4605475664138794]
[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4623365402221680]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4641835689544678]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4654306173324585]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 :  3] [Fitness : Time]: [	-837.2864522514420287 ,	0.4701219797134399]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.4955689907073975]
[Cycles : Iteration : Population Size : Dimension] [  2 :  112 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.4995579719543457]
[Cycles : Iteration : Population Size : Dimension] [  2 :  113 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5052185058593750]
[Cycles : Iteration : Population Size : Dimension] [  2 :  114 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5105655193328857]
[Cycles : Iteration : Population Size : Dimension] [  2 :  115 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5208654403686523]
[Cycles : Iteration : Population Size : Dimension] [  2 :  116 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5249600410461426]
[Cycles : Iteration : Population Size : Dimension] [  2 :  117 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5267745256423950]
[Cycles : Iteration : Population Size : Dimension] [  2 :  118 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5296419858932495]
[Cycles : Iteration : Population Size : Dimension] [  2 :  119 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5378019809722900]
[Cycles : Iteration : Population Size : Dimension] [  2 :  120 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5418050289154053]
[Cycles : Iteration : Population Size : Dimension] [  2 :  121 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5576815605163574]
