[Cycles : Iteration : Population Size : Dimension] [  2 :   44 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0655854940414429]
[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0668830871582031]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0681629180908203]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0694404840469360]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0707559585571289]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0715994834899902]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0733560323715210]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0740000009536743]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0759154558181763]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0772224664688110]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0779008865356445]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0797909498214722]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0810589790344238]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0817064046859741]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0836440324783325]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0849139690399170]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0855920314788818]
[Cycles : Iteration : Population Size : Dimension] [  2 :   61 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0875244140625000]
[Cycles : Iteration : Population Size : Dimension] [  2 :   62 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0888260602951050]
[Cycles : Iteration : Population Size : Dimension] [  2 :   63 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0895249843597412]
[Cycles : Iteration : Population Size : Dimension] [  2 :   64 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0914059877395630]
[Cycles : Iteration : Population Size : Dimension] [  2 :   65 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0927205085754395]
[Cycles : Iteration : Population Size : Dimension] [  2 :   66 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0934054851531982]
[Cycles : Iteration : Population Size : Dimension] [  2 :   67 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0952320098876953]
[Cycles : Iteration : Population Size : Dimension] [  2 :   68 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0965144634246826]
[Cycles : Iteration : Population Size : Dimension] [  2 :   69 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0972294807434082]
[Cycles : Iteration : Population Size : Dimension] [  2 :   70 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0990310907363892]
[Cycles : Iteration : Population Size : Dimension] [  2 :   71 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.0999104976654053]
[Cycles : Iteration : Population Size : Dimension] [  2 :   72 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1011759042739868]
[Cycles : Iteration : Population Size : Dimension] [  2 :   73 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1028670072555542]
[Cycles : Iteration : Population Size : Dimension] [  2 :   74 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1041414737701416]
[Cycles : Iteration : Population Size : Dimension] [  2 :   75 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1054584980010986]
[Cycles : Iteration : Population Size : Dimension] [  2 :   76 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1067540645599365]
[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1079995632171631]
