[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  2] [Fitness : Time]: [	16239.0536794479921809 ,	0.0009510517120361]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  2] [Fitness : Time]: [	14.7285521097670333 ,	0.0018850564956665]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  2] [Fitness : Time]: [	14.7285521097670333 ,	0.0026845932006836]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  2] [Fitness : Time]: [	9.3080659038942581 ,	0.0034455060958862]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  2] [Fitness : Time]: [	9.3080659038942581 ,	0.0042015314102173]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0049301385879517]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0053545236587524]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0064485073089600]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0072110891342163]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0076900720596313]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0087780952453613]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0095491409301758]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0099145174026489]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0110055208206177]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0117700099945068]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0125205516815186]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0132399797439575]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0139970779418945]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0146801471710205]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 :  2] [Fitness : Time]: [	0.9679469497831054 ,	0.0155625343322754]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0163079500198364]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0170450210571289]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0175266265869141]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0185760259628296]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0193135738372803]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0197155475616455]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0208801031112671]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0216535329818726]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0223895311355591]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0231461524963379]
[Cycles : Iteration : Population Size : Dimension] [  2 :   30 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0235420465469360]
[Cycles : Iteration : Population Size : Dimension] [  2 :   31 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0246950387954712]
[Cycles : Iteration : Population Size : Dimension] [  2 :   32 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0254451036453247]
[Cycles : Iteration : Population Size : Dimension] [  2 :   33 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0261950492858887]
[Cycles : Iteration : Population Size : Dimension] [  2 :   34 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0265696048736572]
[Cycles : Iteration : Population Size : Dimension] [  2 :   35 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0273574590682983]
[Cycles : Iteration : Population Size : Dimension] [  2 :   36 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0285420417785645]
[Cycles : Iteration : Population Size : Dimension] [  2 :   37 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0293060541152954]
[Cycles : Iteration : Population Size : Dimension] [  2 :   38 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0300270318984985]
[Cycles : Iteration : Population Size : Dimension] [  2 :   39 :  30 :  2] [Fitness : Time]: [	0.8765737506321664 ,	0.0307925939559937]
[Cycles : Iteration : Population Size : Dimension] [  2 :   40 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0315124988555908]
[Cycles : Iteration : Population Size : Dimension] [  2 :   41 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0323415994644165]
[Cycles : Iteration : Population Size : Dimension] [  2 :   42 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0330870151519775]
[Cycles : Iteration : Population Size : Dimension] [  2 :   43 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0338445901870728]
[Cycles : Iteration : Population Size : Dimension] [  2 :   44 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0346450805664062]
[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0353945493698120]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0358010530471802]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0368690490722656]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0376410484313965]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0380176305770874]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0390731096267700]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0394695997238159]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0405039787292480]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0413219928741455]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0420919656753540]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0428190231323242]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0435451269149780]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0442714691162109]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0450659990310669]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0458201169967651]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0462421178817749]
[Cycles : Iteration : Population Size : Dimension] [  2 :   61 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0473555326461792]
[Cycles : Iteration : Population Size : Dimension] [  2 :   62 :  30 :  2] [Fitness : Time]: [	0.5634536220762099 ,	0.0477780103683472]
[Cycles : Iteration : Population Size : Dimension] [  2 :   63 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0489990711212158]
[Cycles : Iteration : Population Size : Dimension] [  2 :   64 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0498920679092407]
[Cycles : Iteration : Population Size : Dimension] [  2 :   65 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0506194829940796]
[Cycles : Iteration : Population Size : Dimension] [  2 :   66 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0513656139373779]
[Cycles : Iteration : Population Size : Dimension] [  2 :   67 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0517470836639404]
[Cycles : Iteration : Population Size : Dimension] [  2 :   68 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0528265237808228]
[Cycles : Iteration : Population Size : Dimension] [  2 :   69 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0535701513290405]
[Cycles : Iteration : Population Size : Dimension] [  2 :   70 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0539815425872803]
[Cycles : Iteration : Population Size : Dimension] [  2 :   71 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0550761222839355]
[Cycles : Iteration : Population Size : Dimension] [  2 :   72 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0554960966110229]
[Cycles : Iteration : Population Size : Dimension] [  2 :   73 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0565586090087891]
[Cycles : Iteration : Population Size : Dimension] [  2 :   74 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0572930574417114]
[Cycles : Iteration : Population Size : Dimension] [  2 :   75 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0576936006546021]
[Cycles : Iteration : Population Size : Dimension] [  2 :   76 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0587655305862427]
[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0595285892486572]
[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0599100589752197]
[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0609700679779053]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0618045330047607]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0625445842742920]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0633001327514648]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0636969804763794]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0648106336593628]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0655890703201294]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0659891366958618]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0671290159225464]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0675870180130005]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0686764717102051]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0694360733032227]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 :  2] [Fitness : Time]: [	0.3708824795258990 ,	0.0698310136795044]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0709255933761597]
[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0716830492019653]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0724235773086548]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0731650590896606]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0739020109176636]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0746669769287109]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0754131078720093]
[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0758080482482910]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0768744945526123]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0776336193084717]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0780310630798340]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0791496038436890]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0798805952072144]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0806275606155396]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0813491344451904]
[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0817724466323853]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0828596353530884]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 :  2] [Fitness : Time]: [	0.2882509967537348 ,	0.0836220979690552]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 :  2] [Fitness : Time]: [	0.1174948993349540 ,	0.0844340324401855]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 :  2] [Fitness : Time]: [	0.1174948993349540 ,	0.0851739645004272]
