[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0337480306625366]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0344729423522949]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0348509550094604]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0358405113220215]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0364975929260254]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0371520519256592]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0382770299911499]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0389229059219360]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0395735502243042]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0402749776840210]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0409460067749023]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0415890216827393]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0423504114151001]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0430290699005127]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0433725118637085]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0442914962768555]
[Cycles : Iteration : Population Size : Dimension] [  2 :   61 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0450375080108643]
[Cycles : Iteration : Population Size : Dimension] [  2 :   62 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0456894636154175]
[Cycles : Iteration : Population Size : Dimension] [  2 :   63 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0464589595794678]
[Cycles : Iteration : Population Size : Dimension] [  2 :   64 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0471155643463135]
[Cycles : Iteration : Population Size : Dimension] [  2 :   65 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0477639436721802]
[Cycles : Iteration : Population Size : Dimension] [  2 :   66 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0483928918838501]
[Cycles : Iteration : Population Size : Dimension] [  2 :   67 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0490365028381348]
[Cycles : Iteration : Population Size : Dimension] [  2 :   68 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0496560335159302]
[Cycles : Iteration : Population Size : Dimension] [  2 :   69 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0503360033035278]
[Cycles : Iteration : Population Size : Dimension] [  2 :   70 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0510214567184448]
[Cycles : Iteration : Population Size : Dimension] [  2 :   71 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0513654947280884]
[Cycles : Iteration : Population Size : Dimension] [  2 :   72 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0519984960556030]
[Cycles : Iteration : Population Size : Dimension] [  2 :   73 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0529819726943970]
[Cycles : Iteration : Population Size : Dimension] [  2 :   74 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0536290407180786]
[Cycles : Iteration : Population Size : Dimension] [  2 :   75 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0539784431457520]
[Cycles : Iteration : Population Size : Dimension] [  2 :   76 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0549415349960327]
[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0553054809570312]
[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0560330152511597]
