[Cycles : Iteration : Population Size : Dimension] [  1 :    0 :  30 :  8] [Fitness : Time]: [	2.0000000000000000 ,	0.0149540901184082]
[Cycles : Iteration : Population Size : Dimension] [  1 :    1 :  30 :  8] [Fitness : Time]: [	1.0000000000000000 ,	0.0216381549835205]
[Cycles : Iteration : Population Size : Dimension] [  1 :    2 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0277380943298340]
[Cycles : Iteration : Population Size : Dimension] [  1 :    3 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0452699661254883]
[Cycles : Iteration : Population Size : Dimension] [  1 :    4 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0491750240325928]
[Cycles : Iteration : Population Size : Dimension] [  1 :    5 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0528330802917480]
[Cycles : Iteration : Population Size : Dimension] [  1 :    6 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0562660694122314]
[Cycles : Iteration : Population Size : Dimension] [  1 :    7 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0597209930419922]
[Cycles : Iteration : Population Size : Dimension] [  1 :    8 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0633850097656250]
[Cycles : Iteration : Population Size : Dimension] [  1 :    9 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0637981891632080]
[Cycles : Iteration : Population Size : Dimension] [  1 :   10 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0703361034393311]
[Cycles : Iteration : Population Size : Dimension] [  1 :   11 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0738179683685303]
[Cycles : Iteration : Population Size : Dimension] [  1 :   12 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0773921012878418]
[Cycles : Iteration : Population Size : Dimension] [  1 :   13 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0808901786804199]
[Cycles : Iteration : Population Size : Dimension] [  1 :   14 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0828201770782471]
[Cycles : Iteration : Population Size : Dimension] [  1 :   15 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0868160724639893]
[Cycles : Iteration : Population Size : Dimension] [  1 :   16 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0913681983947754]
[Cycles : Iteration : Population Size : Dimension] [  1 :   17 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.0948669910430908]
[Cycles : Iteration : Population Size : Dimension] [  1 :   18 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1025471687316895]
[Cycles : Iteration : Population Size : Dimension] [  1 :   19 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1060571670532227]
[Cycles : Iteration : Population Size : Dimension] [  1 :   20 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1095759868621826]
[Cycles : Iteration : Population Size : Dimension] [  1 :   21 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1131291389465332]
[Cycles : Iteration : Population Size : Dimension] [  1 :   22 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1165831089019775]
[Cycles : Iteration : Population Size : Dimension] [  1 :   23 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1200571060180664]
[Cycles : Iteration : Population Size : Dimension] [  1 :   24 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1236469745635986]
[Cycles : Iteration : Population Size : Dimension] [  1 :   25 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1292121410369873]
[Cycles : Iteration : Population Size : Dimension] [  1 :   26 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1343400478363037]
[Cycles : Iteration : Population Size : Dimension] [  1 :   27 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1378619670867920]
[Cycles : Iteration : Population Size : Dimension] [  1 :   28 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1474311351776123]
[Cycles : Iteration : Population Size : Dimension] [  1 :   29 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1527891159057617]
[Cycles : Iteration : Population Size : Dimension] [  1 :   30 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1562170982360840]
[Cycles : Iteration : Population Size : Dimension] [  1 :   31 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1565220355987549]
[Cycles : Iteration : Population Size : Dimension] [  1 :   32 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1630179882049561]
[Cycles : Iteration : Population Size : Dimension] [  1 :   33 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1664981842041016]
[Cycles : Iteration : Population Size : Dimension] [  1 :   34 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1699919700622559]
[Cycles : Iteration : Population Size : Dimension] [  1 :   35 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1735110282897949]
[Cycles : Iteration : Population Size : Dimension] [  1 :   36 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1770811080932617]
[Cycles : Iteration : Population Size : Dimension] [  1 :   37 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1807441711425781]
[Cycles : Iteration : Population Size : Dimension] [  1 :   38 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1842911243438721]
[Cycles : Iteration : Population Size : Dimension] [  1 :   39 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1877851486206055]
[Cycles : Iteration : Population Size : Dimension] [  1 :   40 :  30 :  8] [Fitness : Time]: [	0.0000000000000000 ,	0.1912209987640381]
