[Cycles : Iteration : Population Size : Dimension] [  1 :   45 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0806050300598145]
[Cycles : Iteration : Population Size : Dimension] [  1 :   46 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0821599960327148]
[Cycles : Iteration : Population Size : Dimension] [  1 :   47 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0826659202575684]
[Cycles : Iteration : Population Size : Dimension] [  1 :   48 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0915658473968506]
[Cycles : Iteration : Population Size : Dimension] [  1 :   49 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1305949687957764]
[Cycles : Iteration : Population Size : Dimension] [  1 :   50 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1358630657196045]
[Cycles : Iteration : Population Size : Dimension] [  1 :   51 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1409220695495605]
[Cycles : Iteration : Population Size : Dimension] [  1 :   52 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1467158794403076]
[Cycles : Iteration : Population Size : Dimension] [  1 :   53 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1523909568786621]
[Cycles : Iteration : Population Size : Dimension] [  1 :   54 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1548280715942383]
[Cycles : Iteration : Population Size : Dimension] [  1 :   55 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1614148616790771]
[Cycles : Iteration : Population Size : Dimension] [  1 :   56 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1661808490753174]
[Cycles : Iteration : Population Size : Dimension] [  1 :   57 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1764659881591797]
[Cycles : Iteration : Population Size : Dimension] [  1 :   58 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1827819347381592]
[Cycles : Iteration : Population Size : Dimension] [  1 :   59 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1877908706665039]
[Cycles : Iteration : Population Size : Dimension] [  1 :   60 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1930670738220215]
[Cycles : Iteration : Population Size : Dimension] [  1 :   61 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.1983530521392822]
[Cycles : Iteration : Population Size : Dimension] [  1 :   62 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2027668952941895]
[Cycles : Iteration : Population Size : Dimension] [  1 :   63 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2093548774719238]
[Cycles : Iteration : Population Size : Dimension] [  1 :   64 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2142720222473145]
[Cycles : Iteration : Population Size : Dimension] [  1 :   65 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2189829349517822]
[Cycles : Iteration : Population Size : Dimension] [  1 :   66 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2258360385894775]
[Cycles : Iteration : Population Size : Dimension] [  1 :   67 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2317769527435303]
[Cycles : Iteration : Population Size : Dimension] [  1 :   68 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2372350692749023]
[Cycles : Iteration : Population Size : Dimension] [  1 :   69 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2426240444183350]
[Cycles : Iteration : Population Size : Dimension] [  1 :   70 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2482159137725830]
[Cycles : Iteration : Population Size : Dimension] [  1 :   71 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2556989192962646]
[Cycles : Iteration : Population Size : Dimension] [  1 :   72 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2610740661621094]
[Cycles : Iteration : Population Size : Dimension] [  1 :   73 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2663848400115967]
[Cycles : Iteration : Population Size : Dimension] [  1 :   74 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2720470428466797]
[Cycles : Iteration : Population Size : Dimension] [  1 :   75 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2772479057312012]
[Cycles : Iteration : Population Size : Dimension] [  1 :   76 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2828199863433838]
[Cycles : Iteration : Population Size : Dimension] [  1 :   77 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2868590354919434]
[Cycles : Iteration : Population Size : Dimension] [  1 :   78 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2928299903869629]
[Cycles : Iteration : Population Size : Dimension] [  1 :   79 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.2976770401000977]
[Cycles : Iteration : Population Size : Dimension] [  1 :   80 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3071880340576172]
[Cycles : Iteration : Population Size : Dimension] [  1 :   81 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3128969669342041]
[Cycles : Iteration : Population Size : Dimension] [  1 :   82 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3187220096588135]
[Cycles : Iteration : Population Size : Dimension] [  1 :   83 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3230609893798828]
